Strain	
Maltose	malt
L-Histidine	his__L
Galacturonic acid	galur
L-Tryptophan	trp__L
L-Tyrosine	tyr__L
Gluconate	glcn__D
myo_inositol	inost
Arabinose	arab__L
L-Glutamate	glu__L
L-Glutamine	gln__L
L-Arginine	arg__L
D-Xylose	xyl__D
D-Mannitol	mnl
Glycerol	glyc
Succinate	succ
L-Threonine	thr__L
Benzoate	bz
L-Leucine	leu__L
L-Methionine	met__L
Formate	for
D-Fructose	fru
D-Mannose	man
Ornithine	orn
L-Valine	val__L
L-Aspartate	asp__L
D-Glucose	glc__D
Glycine	gly
L-Serine	ser__L
L-Isoleucine	ile__L
L-Alanine	ala__L
Acetate	ac
Trehalose	tre
Pyruvate	pyr
L-Cysteine	cys__L
Cellobiose	cellb
L-Asparagine	asn__L
L-Proline	pro__L
Oxalate	oxa
Methanol	meoh
D-Sucrose	sucr
D-Galactose	gal
L-Lysine	lys__L
L-Phenylalanine	phe__L
Methylamine	mma
